,Departamento,Municipio,aguacate,arroz,cafe,cebollaC,papa
93,Boyacá,Tota,No apta,No apta,"No apta,Exclusión legal",No apta,No apta
94,Boyacá,Tasco,No apta,Exclusión legal,Exclusión legal,No apta,No apta
95,Santander,Bolívar,"Aptitud alta,Exclusión legal",No apta,No apta,No apta,No apta
96,Cauca,Bolívar,No apta,Exclusión legal,Aptitud alta,No apta,No apta
97,Valle del Cauca,Bolívar,"Aptitud media,Aptitud baja",No apta,Aptitud media,No apta,No apta
98,Norte de Santander,Chitagá,No apta,Exclusión legal,Aptitud alta,No apta,No apta
99,Norte de Santander,Arboledas,No apta,No apta,Aptitud alta,No apta,"Aptitud media,Exclusión legal"
100,Norte de Santander,Cáchira,Aptitud media,Exclusión legal,Aptitud alta,Aptitud baja,"Aptitud baja,Aptitud media"
101,Bolívar,Rioviejo,Exclusión legal,Aptitud baja,Exclusión legal,Aptitud baja,Exclusión legal
102,Bolívar,Hatillo de Loba,Exclusión legal,Aptitud baja,Exclusión legal,Exclusión legal,Exclusión legal
103,Cesar,Curumaní,No apta,No apta,Aptitud alta,No apta,No apta
104,Norte de Santander,Toledo,No apta,No apta,Aptitud alta,No apta,"Aptitud alta,Aptitud baja"
105,Antioquia,Toledo,No apta,Aptitud baja,No apta,"Aptitud alta,Exclusión legal",Exclusión legal
106,Vichada,Cumaribo,No apta,Aptitud baja,Exclusión legal,Aptitud baja,No apta
107,Magdalena,Santa Marta,No apta,No apta,Aptitud alta,No apta,No apta
108,Putumayo,Santiago,No apta,Exclusión legal,No apta,No apta,No apta
109,Norte de Santander,Santiago,"Aptitud baja,Exclusión legal",Exclusión legal,No apta,No apta,Exclusión legal
110,Putumayo,Sibundoy,No apta,"No apta,Exclusión legal",Exclusión legal,No apta,No apta
111,Nariño,Mallama (Piedrancha),No apta,No apta,"Exclusión legal,Aptitud baja","Aptitud alta,Exclusión legal","Aptitud media,Aptitud alta,Exclusión legal"
112,Nariño,Albán (San José),"Aptitud media,No apta",Exclusión legal,Aptitud alta,No apta,"Aptitud media,No apta"
113,Atlántico,Sabanagrande,Exclusión legal,Exclusión legal,No apta,"Aptitud baja,Aptitud media",Exclusión legal
114,Magdalena,Aracataca,"No apta,Exclusión legal",Exclusión legal,Aptitud alta,"Aptitud baja,Aptitud media",Exclusión legal
115,Atlántico,Juan de Acosta,No apta,Exclusión legal,No apta,No apta,No apta
116,Atlántico,Malambo,Exclusión legal,Exclusión legal,No apta,No apta,Exclusión legal
117,Atlántico,Tubará,No apta,Exclusión legal,Exclusión legal,No apta,No apta
118,Magdalena,Puebloviejo,Exclusión legal,Exclusión legal,Exclusión legal,"Aptitud media,Aptitud alta",Exclusión legal
119,Nariño,Córdoba,"Exclusión legal,Aptitud media",Exclusión legal,No apta,Aptitud media,No apta
120,Quindío,Córdoba,No apta,No apta,No apta,No apta,No apta
121,Bolívar,Córdoba,Exclusión legal,Exclusión legal,No apta,Aptitud media,Exclusión legal
122,Nariño,Funes,Aptitud alta,Exclusión legal,Aptitud alta,No apta,Aptitud alta
123,Nariño,Pasto,No apta,Exclusión legal,Exclusión legal,No apta,No apta
124,Nariño,Buesaco,"Exclusión legal,Aptitud baja",No apta,Aptitud alta,No apta,"Aptitud media,Aptitud alta"
125,Nariño,La Florida,"Aptitud alta,Aptitud media,No apta",Exclusión legal,Aptitud alta,Aptitud media,"Exclusión legal,No apta"
126,Nariño,Santa Cruz (Guachavés),"Aptitud media,Aptitud alta",No apta,No apta,No apta,No apta
127,Putumayo,Mocoa,Exclusión legal,"No apta,Exclusión legal",No apta,Exclusión legal,Exclusión legal
128,Nariño,Arboleda (Berruecos),No apta,Exclusión legal,Aptitud alta,No apta,"Aptitud media,No apta"
129,Nariño,El Tambo,Aptitud media,No apta,Aptitud alta,No apta,"Aptitud alta,Aptitud media"
130,Cauca,El Tambo,Exclusión legal,Exclusión legal,Aptitud alta,"Aptitud baja,Aptitud alta",Exclusión legal
131,Nariño,San Bernardo,Exclusión legal,Exclusión legal,Aptitud alta,No apta,No apta
132,Cundinamarca,San Bernardo,"Aptitud media,Aptitud alta",Exclusión legal,No apta,Aptitud alta,No apta
133,Nariño,San Lorenzo,No apta,No apta,Aptitud alta,No apta,Aptitud media
134,Atlántico,Barranquilla,No apta,No apta,No apta,No apta,No apta
135,Nariño,San Pedro de Cartago (Cartago),No apta,No apta,"Aptitud baja,Exclusión legal",No apta,No apta
136,Nariño,Belén,"Aptitud baja,Exclusión legal",Exclusión legal,Aptitud alta,No apta,Aptitud media
137,Boyacá,Belén,No apta,Exclusión legal,Exclusión legal,No apta,No apta
138,Nariño,Colón (Génova),"Aptitud baja,Aptitud alta",Exclusión legal,"Aptitud baja,Exclusión legal",Aptitud alta,"No apta,Exclusión legal"
139,Cauca,La Vega,"Aptitud media,Aptitud baja",Exclusión legal,Aptitud alta,No apta,No apta
140,Cundinamarca,La Vega,No apta,"Aptitud media,Exclusión legal",No apta,No apta,"Aptitud alta,Exclusión legal"
141,Caquetá,Florencia,Exclusión legal,Aptitud alta,Aptitud alta,"Aptitud media,No apta",Exclusión legal
142,Cauca,Florencia,No apta,"Aptitud baja,Exclusión legal,No apta",Aptitud alta,"Aptitud baja,Exclusión legal","Aptitud media,Exclusión legal,No apta"
143,Cauca,Balboa,"Aptitud media,Aptitud baja","Exclusión legal,Aptitud media,Aptitud alta",No apta,No apta,Aptitud media
144,Risaralda,Balboa,Exclusión legal,"Exclusión legal,No apta",Aptitud alta,"Aptitud media,Aptitud alta",Exclusión legal
145,Huila,Tarqui,No apta,"No apta,Aptitud alta,Aptitud media",Aptitud alta,Aptitud media,Exclusión legal
146,Huila,Palestina,No apta,No apta,Aptitud alta,No apta,No apta
147,Caldas,Palestina,"Aptitud media,Aptitud alta",No apta,No apta,No apta,Exclusión legal
148,Nariño,Policarpa,Exclusión legal,Exclusión legal,Aptitud alta,Exclusión legal,Exclusión legal
149,Huila,Pitalito,Aptitud baja,No apta,Aptitud alta,"Aptitud alta,Exclusión legal",Exclusión legal
150,Cauca,Almaguer,Exclusión legal,Exclusión legal,Aptitud alta,No apta,"Aptitud media,No apta"
151,Huila,Paicol,No apta,Aptitud baja,Aptitud alta,Aptitud alta,Exclusión legal
152,Huila,La Plata,No apta,"Aptitud media,Exclusión legal",Aptitud alta,No apta,Aptitud media
153,Cauca,Argelia,No apta,No apta,No apta,No apta,No apta
154,Antioquia,Argelia,Exclusión legal,Exclusión legal,Aptitud alta,Exclusión legal,Exclusión legal
155,Valle del Cauca,Argelia,No apta,No apta,No apta,"Aptitud baja,Aptitud alta",No apta
156,Cauca,Inzá,No apta,No apta,Aptitud alta,No apta,No apta
157,Nariño,El Rosario,Exclusión legal,Exclusión legal,Aptitud alta,Exclusión legal,Exclusión legal
158,Huila,Suaza,"No apta,Aptitud media","No apta,Aptitud alta",Aptitud alta,No apta,Exclusión legal
